order_id,customer_id,order_date,store_name,city,region,category,channel,customer_segment,units_sold,sales,profit,returns
ORD-1050,CUST-6319,2024-01-12,Trend Hub,New York,East,Electronics,Marketplace,New,8,1180.4,259.69,0
ORD-1051,CUST-5828,2025-03-15,Trend Hub,Dallas,South,Groceries,Wholesale,VIP,15,1667.95,416.99,0
ORD-1052,CUST-6140,2024-01-24,QuickStop,Miami,South,Home Goods,Online,New,11,1228.97,221.21,0
ORD-1053,CUST-1960,2024-06-03,Prime Market,Toronto,North,Groceries,Wholesale,VIP,2,273.36,68.34,0
ORD-1054,CUST-9122,2024-01-29,Daily Basket,Dallas,South,Electronics,Marketplace,VIP,14,2645.4,581.99,0
ORD-1055,CUST-8433,2024-06-24,Daily Basket,Los Angeles,West,Beauty,Wholesale,Returning,14,1871.1,374.22,0
ORD-1056,CUST-4465,2024-10-20,QuickStop,Dallas,South,Groceries,Marketplace,Returning,14,1018.97,254.74,0
ORD-1057,CUST-4043,2024-05-16,Urban Mart,Miami,South,Apparel,In-Store,New,8,635.9,101.74,0
ORD-1058,CUST-7171,2024-07-20,Daily Basket,New York,East,Home Goods,In-Store,Returning,4,522.72,94.09,0
ORD-1059,CUST-9643,2025-03-09,QuickStop,Los Angeles,West,Groceries,In-Store,VIP,6,658.12,164.53,0
ORD-1060,CUST-6695,2025-04-09,Trend Hub,Dallas,South,Groceries,Wholesale,Returning,14,1245.4,311.35,0
ORD-1061,CUST-9571,2024-04-06,Trend Hub,New York,East,Apparel,Wholesale,Returning,15,2117.02,338.72,0
ORD-1062,CUST-9422,2024-12-02,Value Cart,New York,East,Beauty,Wholesale,New,9,901.69,180.34,0
ORD-1063,CUST-9381,2025-06-09,Daily Basket,Seattle,West,Apparel,Wholesale,Returning,14,2245.32,359.25,0
ORD-1064,CUST-6544,2025-06-01,Daily Basket,Toronto,North,Apparel,Online,New,9,1011.24,161.8,0
ORD-1065,CUST-9280,2024-03-11,Value Cart,New York,East,Apparel,In-Store,VIP,9,1202.85,192.46,0
ORD-1066,CUST-2077,2025-03-13,Trend Hub,New York,East,Apparel,Online,VIP,15,2305.46,368.87,0
ORD-1067,CUST-7574,2025-01-29,Value Cart,Toronto,North,Beauty,In-Store,VIP,14,1672.65,334.53,0
ORD-1068,CUST-4277,2024-07-01,Daily Basket,Boston,East,Beauty,Wholesale,New,14,1402.63,280.53,0
ORD-1069,CUST-2151,2024-06-20,Urban Mart,Chicago,North,Electronics,Marketplace,Returning,8,1486.46,327.02,0
ORD-1070,CUST-5313,2025-02-03,QuickStop,Chicago,North,Groceries,In-Store,VIP,11,1138.99,284.75,0
ORD-1071,CUST-8900,2024-12-22,Daily Basket,Seattle,West,Groceries,Marketplace,Returning,3,284.31,71.08,0
ORD-1072,CUST-1110,2024-12-14,Prime Market,Toronto,North,Apparel,Online,VIP,10,1648.76,263.8,0
ORD-1073,CUST-5639,2025-01-30,Trend Hub,Seattle,West,Groceries,In-Store,New,8,598.0,149.5,0
ORD-1074,CUST-8911,2025-05-17,Value Cart,Boston,East,Electronics,In-Store,VIP,1,200.48,44.11,0
ORD-1075,CUST-6609,2025-03-01,Urban Mart,Seattle,West,Beauty,Marketplace,New,12,1117.8,223.56,0
ORD-1076,CUST-2287,2024-02-19,QuickStop,Boston,East,Electronics,Online,New,8,1256.9,276.52,0
ORD-1077,CUST-2406,2025-03-18,QuickStop,Toronto,North,Home Goods,Wholesale,VIP,1,231.3,41.63,1
ORD-1078,CUST-8643,2024-01-29,QuickStop,Los Angeles,West,Groceries,Marketplace,New,5,403.65,100.91,1
ORD-1079,CUST-5018,2025-01-01,QuickStop,Los Angeles,West,Electronics,Marketplace,VIP,12,2952.45,649.54,0
ORD-1080,CUST-7705,2024-01-22,Urban Mart,Miami,South,Electronics,Wholesale,Returning,10,1847.58,406.47,0
ORD-1081,CUST-1899,2024-02-17,Urban Mart,Seattle,West,Groceries,Wholesale,New,4,394.68,98.67,0
ORD-1082,CUST-6546,2025-01-23,Daily Basket,Boston,East,Beauty,Wholesale,New,2,200.38,40.08,1
ORD-1083,CUST-4387,2024-04-29,Daily Basket,Seattle,West,Apparel,Online,Returning,2,279.45,44.71,0
ORD-1084,CUST-6151,2025-06-20,Value Cart,New York,East,Beauty,In-Store,Returning,15,1336.5,267.3,0
ORD-1085,CUST-4983,2024-05-15,Trend Hub,Los Angeles,West,Apparel,Wholesale,Returning,12,1924.56,307.93,0
ORD-1086,CUST-5267,2025-05-29,Prime Market,Toronto,North,Apparel,Wholesale,Returning,16,2422.38,387.58,0
ORD-1087,CUST-4606,2025-06-16,Trend Hub,Chicago,North,Electronics,In-Store,Returning,8,1376.35,302.8,0
ORD-1088,CUST-6294,2024-12-13,Urban Mart,Seattle,West,Apparel,Marketplace,New,17,1900.26,304.04,0
ORD-1089,CUST-4157,2025-05-18,Prime Market,Toronto,North,Apparel,In-Store,New,4,390.82,62.53,0
ORD-1090,CUST-3845,2024-11-05,Value Cart,Boston,East,Beauty,Wholesale,Returning,11,1293.73,258.75,0
ORD-1091,CUST-8273,2024-07-06,Prime Market,New York,East,Apparel,Wholesale,Returning,7,987.94,158.07,0
ORD-1092,CUST-5681,2025-02-06,Urban Mart,Boston,East,Groceries,Marketplace,Returning,13,1084.17,271.04,0
ORD-1093,CUST-8815,2024-05-14,QuickStop,Dallas,South,Home Goods,In-Store,New,2,194.3,34.97,1
ORD-1094,CUST-2556,2025-04-05,Urban Mart,Seattle,West,Home Goods,Wholesale,Returning,9,1764.18,317.55,0
ORD-1095,CUST-7381,2024-02-06,Urban Mart,Boston,East,Apparel,Marketplace,VIP,15,2165.13,346.42,0
ORD-1096,CUST-9624,2024-03-25,Daily Basket,Chicago,North,Electronics,Wholesale,Returning,9,2043.88,449.65,0
ORD-1097,CUST-9329,2024-09-02,Trend Hub,Seattle,West,Beauty,Wholesale,New,12,1366.2,273.24,0
ORD-1098,CUST-2473,2024-12-16,Daily Basket,Miami,South,Home Goods,Marketplace,Returning,8,985.37,177.37,0
ORD-1099,CUST-6857,2024-08-16,QuickStop,Los Angeles,West,Groceries,Wholesale,New,15,1480.05,370.01,0
ORD-1100,CUST-7797,2024-03-18,QuickStop,New York,East,Home Goods,In-Store,New,15,1669.8,300.56,0
ORD-1101,CUST-6688,2024-09-19,Urban Mart,Dallas,South,Home Goods,Online,New,16,1787.6,321.77,1
ORD-1102,CUST-5439,2024-05-07,Trend Hub,Toronto,North,Apparel,Marketplace,Returning,13,1610.33,257.65,1
ORD-1103,CUST-8149,2024-05-27,QuickStop,Chicago,North,Groceries,Wholesale,Returning,12,1312.12,328.03,0
ORD-1104,CUST-4045,2025-02-21,Daily Basket,New York,East,Home Goods,Wholesale,Returning,15,2587.46,465.74,0
ORD-1105,CUST-3744,2024-06-30,Daily Basket,Dallas,South,Beauty,Marketplace,Returning,9,755.83,151.17,0
ORD-1106,CUST-5782,2024-11-17,Prime Market,Chicago,North,Home Goods,Wholesale,Returning,15,2775.64,499.62,0
ORD-1107,CUST-3847,2024-01-13,QuickStop,Dallas,South,Beauty,Wholesale,Returning,4,410.57,82.11,0
ORD-1108,CUST-3767,2024-04-14,Value Cart,Miami,South,Groceries,Wholesale,Returning,8,711.66,177.91,0
ORD-1109,CUST-8224,2024-11-05,Trend Hub,Toronto,North,Electronics,Wholesale,Returning,11,2498.08,549.58,0
ORD-1110,CUST-7485,2024-12-05,QuickStop,Seattle,West,Beauty,Wholesale,VIP,9,1503.56,300.71,0
ORD-1111,CUST-6846,2024-12-06,QuickStop,Seattle,West,Electronics,Online,Returning,13,2724.64,599.42,0
ORD-1112,CUST-3593,2024-10-29,Prime Market,Los Angeles,West,Groceries,Online,VIP,3,378.42,94.61,0
ORD-1113,CUST-9668,2025-06-14,Prime Market,Boston,East,Electronics,Online,New,1,157.11,34.56,0
ORD-1114,CUST-4703,2024-09-24,QuickStop,Los Angeles,West,Apparel,In-Store,VIP,5,759.38,121.5,0
ORD-1115,CUST-3145,2024-12-21,Value Cart,Toronto,North,Apparel,Marketplace,New,16,1688.33,270.13,0
ORD-1116,CUST-7077,2024-01-21,QuickStop,Toronto,North,Electronics,In-Store,New,16,2344.9,515.88,0
ORD-1117,CUST-9169,2024-12-25,QuickStop,Seattle,West,Beauty,Wholesale,Returning,14,1871.1,374.22,1
ORD-1118,CUST-5631,2024-05-08,Trend Hub,Chicago,North,Groceries,In-Store,New,17,1199.59,299.9,0
ORD-1119,CUST-4734,2024-10-17,Prime Market,Chicago,North,Beauty,Marketplace,Returning,12,1238.72,247.74,0
ORD-1120,CUST-6312,2025-04-11,Daily Basket,New York,East,Groceries,Marketplace,New,13,923.55,230.89,0
ORD-1121,CUST-5048,2024-03-03,QuickStop,Dallas,South,Groceries,Online,VIP,2,193.75,48.44,0
ORD-1122,CUST-4671,2025-01-27,Value Cart,Dallas,South,Groceries,Wholesale,New,14,1060.9,265.23,0
ORD-1123,CUST-5461,2024-03-06,QuickStop,New York,East,Groceries,Wholesale,VIP,11,1401.54,350.38,0
ORD-1124,CUST-1604,2025-05-15,Prime Market,Toronto,North,Electronics,Online,Returning,2,395.7,87.05,0
ORD-1125,CUST-8985,2024-10-30,Prime Market,Toronto,North,Groceries,Wholesale,VIP,6,820.08,205.02,0
ORD-1126,CUST-9072,2025-06-08,Value Cart,Los Angeles,West,Apparel,Marketplace,New,6,670.68,107.31,0
ORD-1127,CUST-6578,2024-11-02,QuickStop,Dallas,South,Home Goods,Wholesale,VIP,13,2446.33,440.34,0
ORD-1128,CUST-2398,2024-12-23,QuickStop,Toronto,North,Home Goods,In-Store,New,4,477.66,85.98,0
ORD-1129,CUST-8747,2024-01-01,Value Cart,Miami,South,Home Goods,Marketplace,Returning,14,1724.41,310.39,0
ORD-1130,CUST-9122,2024-09-17,Value Cart,Los Angeles,West,Beauty,In-Store,VIP,12,1518.75,303.75,0
ORD-1131,CUST-8015,2024-09-14,Value Cart,Toronto,North,Home Goods,Online,Returning,12,1934.54,348.22,0
ORD-1132,CUST-1926,2024-10-07,Urban Mart,Seattle,West,Electronics,Marketplace,VIP,13,3198.49,703.67,1
ORD-1133,CUST-1427,2024-01-29,Urban Mart,Chicago,North,Groceries,In-Store,New,9,635.08,158.77,0
ORD-1134,CUST-7283,2024-01-28,Value Cart,Seattle,West,Home Goods,Marketplace,New,16,2185.92,393.47,0
ORD-1135,CUST-4732,2025-06-18,Prime Market,Miami,South,Home Goods,In-Store,New,1,97.15,17.49,0
ORD-1136,CUST-3997,2025-04-16,Urban Mart,Toronto,North,Apparel,In-Store,Returning,1,114.7,18.35,0
ORD-1137,CUST-9226,2024-10-28,QuickStop,Seattle,West,Apparel,In-Store,New,6,621.0,99.36,0
ORD-1138,CUST-9372,2024-09-19,Prime Market,Los Angeles,West,Home Goods,Wholesale,New,5,834.9,150.28,1
ORD-1139,CUST-1185,2024-09-27,Daily Basket,Dallas,South,Electronics,Online,Returning,1,160.96,35.41,0
ORD-1140,CUST-1995,2025-05-17,QuickStop,Toronto,North,Electronics,Marketplace,New,3,474.84,104.46,0
ORD-1141,CUST-3525,2024-09-17,Value Cart,Toronto,North,Home Goods,Wholesale,VIP,15,3469.55,624.52,1
ORD-1142,CUST-8698,2025-04-11,Prime Market,Boston,East,Electronics,Marketplace,VIP,17,3680.72,809.76,0
ORD-1143,CUST-7606,2024-05-15,Prime Market,Los Angeles,West,Groceries,Wholesale,VIP,17,2461.39,615.35,0
ORD-1144,CUST-2946,2025-03-20,Value Cart,Toronto,North,Beauty,Online,Returning,6,659.5,131.9,0
ORD-1145,CUST-7318,2024-12-13,Urban Mart,Dallas,South,Groceries,Online,VIP,6,581.26,145.31,1
ORD-1146,CUST-3854,2024-03-31,QuickStop,Boston,East,Beauty,In-Store,VIP,15,1670.62,334.12,0
ORD-1147,CUST-8148,2024-03-21,Urban Mart,New York,East,Beauty,Online,VIP,12,1536.98,307.4,0
ORD-1148,CUST-9936,2024-10-04,Trend Hub,Chicago,North,Electronics,Marketplace,New,10,1582.8,348.22,0
ORD-1149,CUST-2640,2024-07-31,QuickStop,Chicago,North,Electronics,Marketplace,Returning,10,1858.08,408.78,0
ORD-1150,CUST-6971,2024-05-29,Prime Market,New York,East,Apparel,Online,New,6,628.45,100.55,0
ORD-1151,CUST-6576,2024-04-13,Value Cart,Toronto,North,Electronics,Online,VIP,15,3709.7,816.13,0
ORD-1152,CUST-7531,2024-11-30,Value Cart,Chicago,North,Home Goods,Marketplace,VIP,10,1892.48,340.65,0
ORD-1153,CUST-1316,2024-05-26,QuickStop,Los Angeles,West,Electronics,In-Store,VIP,9,2050.31,451.07,1
ORD-1154,CUST-9006,2025-03-11,Prime Market,Dallas,South,Apparel,Marketplace,New,14,1201.86,192.3,0
ORD-1155,CUST-9278,2024-03-28,Urban Mart,New York,East,Home Goods,Marketplace,New,4,480.9,86.56,0
ORD-1156,CUST-7600,2025-04-14,Trend Hub,Los Angeles,West,Home Goods,In-Store,Returning,15,2227.5,400.95,0
ORD-1157,CUST-9546,2024-12-19,Value Cart,Miami,South,Electronics,Wholesale,Returning,13,2401.85,528.41,0
ORD-1158,CUST-8182,2024-11-07,Daily Basket,Miami,South,Groceries,Wholesale,VIP,15,1667.95,416.99,0
ORD-1159,CUST-8244,2024-01-02,Daily Basket,Toronto,North,Apparel,Online,New,17,1910.11,305.62,0
ORD-1160,CUST-6478,2025-01-28,Value Cart,Los Angeles,West,Home Goods,Wholesale,New,6,1001.88,180.34,0
ORD-1161,CUST-4041,2024-07-29,Value Cart,Miami,South,Apparel,Marketplace,Returning,8,806.22,129.0,0
ORD-1162,CUST-7160,2024-07-25,Daily Basket,Miami,South,Electronics,In-Store,New,6,715.39,157.39,0
ORD-1163,CUST-4094,2024-01-13,Trend Hub,Los Angeles,West,Electronics,Online,Returning,13,2724.64,599.42,0
ORD-1164,CUST-5215,2024-06-01,QuickStop,Miami,South,Electronics,In-Store,Returning,1,139.97,30.79,0
ORD-1165,CUST-8951,2024-03-10,Prime Market,Toronto,North,Electronics,Marketplace,New,12,1899.37,417.86,0
ORD-1166,CUST-8889,2024-03-01,Urban Mart,Toronto,North,Home Goods,In-Store,VIP,6,1051.38,189.25,0
ORD-1167,CUST-9470,2024-02-27,QuickStop,Los Angeles,West,Home Goods,Marketplace,Returning,2,320.76,57.74,0
ORD-1168,CUST-6550,2024-06-15,Prime Market,Chicago,North,Electronics,Marketplace,VIP,13,3019.37,664.26,0
ORD-1169,CUST-5715,2024-10-11,Trend Hub,Toronto,North,Apparel,Online,New,15,1685.39,269.66,0
ORD-1170,CUST-7839,2025-02-06,QuickStop,New York,East,Home Goods,Marketplace,Returning,2,282.27,50.81,0
ORD-1171,CUST-4463,2024-01-24,QuickStop,Chicago,North,Apparel,Online,New,16,1797.75,287.64,0
ORD-1172,CUST-5048,2024-05-24,Value Cart,Chicago,North,Electronics,Wholesale,Returning,2,454.2,99.92,0
ORD-1173,CUST-7478,2025-04-25,QuickStop,New York,East,Apparel,Marketplace,VIP,6,866.05,138.57,0
ORD-1174,CUST-8991,2024-05-15,Trend Hub,Miami,South,Electronics,Online,VIP,2,402.41,88.53,0
ORD-1175,CUST-4252,2024-06-28,Prime Market,New York,East,Apparel,Wholesale,Returning,10,1411.34,225.81,0
ORD-1176,CUST-9577,2024-03-13,Trend Hub,Miami,South,Groceries,Online,Returning,15,1162.51,290.63,0
ORD-1177,CUST-2413,2024-07-22,Trend Hub,Boston,East,Electronics,In-Store,VIP,1,200.48,44.11,0
ORD-1178,CUST-4603,2025-05-16,QuickStop,Toronto,North,Beauty,Online,Returning,17,1868.59,373.72,0
ORD-1179,CUST-8552,2024-12-27,QuickStop,Chicago,North,Electronics,Marketplace,VIP,13,3019.37,664.26,0
ORD-1180,CUST-4081,2024-03-24,Daily Basket,Los Angeles,West,Home Goods,Wholesale,New,16,2671.68,480.9,0
ORD-1181,CUST-5778,2024-12-25,Daily Basket,New York,East,Beauty,Marketplace,VIP,4,481.14,96.23,0
ORD-1182,CUST-3527,2024-08-27,Daily Basket,Dallas,South,Electronics,Wholesale,VIP,5,1154.74,254.04,1
ORD-1183,CUST-2378,2024-08-05,Urban Mart,Dallas,South,Apparel,Online,VIP,11,1475.5,236.08,0
ORD-1184,CUST-6938,2025-05-19,Prime Market,New York,East,Beauty,Wholesale,Returning,6,705.67,141.13,0
ORD-1185,CUST-9874,2024-02-09,QuickStop,Dallas,South,Apparel,In-Store,Returning,4,373.25,59.72,0
ORD-1186,CUST-7745,2025-04-07,QuickStop,New York,East,Apparel,In-Store,VIP,13,1737.45,277.99,0
ORD-1187,CUST-7611,2024-09-04,Value Cart,Boston,East,Electronics,In-Store,Returning,17,2726.46,599.82,0
ORD-1188,CUST-5579,2025-02-07,QuickStop,Miami,South,Apparel,Online,VIP,11,1475.5,236.08,0
ORD-1189,CUST-3326,2024-06-29,Value Cart,Miami,South,Apparel,In-Store,VIP,7,816.48,130.64,0
ORD-1190,CUST-6965,2024-03-09,Trend Hub,Seattle,West,Beauty,Online,Returning,13,1513.69,302.74,1
ORD-1191,CUST-9217,2025-04-30,Trend Hub,Dallas,South,Electronics,Marketplace,VIP,15,2834.35,623.56,0
ORD-1192,CUST-3551,2024-12-31,QuickStop,Toronto,North,Home Goods,Marketplace,New,5,644.85,116.07,0
ORD-1193,CUST-6240,2025-05-15,Trend Hub,Los Angeles,West,Groceries,Wholesale,Returning,12,1389.96,347.49,0
ORD-1194,CUST-9784,2024-11-29,Trend Hub,New York,East,Beauty,Online,New,13,1134.71,226.94,0
ORD-1195,CUST-4262,2024-08-28,Urban Mart,Boston,East,Apparel,In-Store,VIP,15,2004.75,320.76,0
ORD-1196,CUST-5900,2024-08-30,QuickStop,Chicago,North,Groceries,In-Store,New,15,1058.46,264.62,0
ORD-1197,CUST-3844,2024-08-30,Prime Market,Boston,East,Groceries,Online,Returning,16,1420.85,355.21,0
ORD-1198,CUST-7862,2025-04-06,Urban Mart,Los Angeles,West,Beauty,Marketplace,VIP,4,546.75,109.35,0
ORD-1199,CUST-5155,2024-12-08,Trend Hub,Dallas,South,Beauty,Wholesale,Returning,5,513.22,102.64,0
ORD-1200,CUST-8744,2024-11-16,Trend Hub,Miami,South,Home Goods,Wholesale,VIP,5,940.9,169.36,0
ORD-1201,CUST-7298,2024-07-19,Prime Market,Toronto,North,Apparel,Marketplace,New,15,1582.8,253.25,0
ORD-1202,CUST-2733,2025-02-27,Urban Mart,New York,East,Home Goods,In-Store,VIP,5,816.75,147.01,0
ORD-1203,CUST-9445,2024-01-15,Value Cart,Miami,South,Groceries,Marketplace,New,17,1054.01,263.5,1
ORD-1204,CUST-6970,2024-03-16,Trend Hub,Boston,East,Home Goods,In-Store,VIP,4,653.4,117.61,0
ORD-1205,CUST-3655,2025-01-23,Trend Hub,Los Angeles,West,Electronics,In-Store,Returning,10,1822.5,400.95,0
ORD-1206,CUST-5647,2025-01-10,Urban Mart,Los Angeles,West,Groceries,Online,VIP,1,126.14,31.54,0
ORD-1207,CUST-2889,2025-01-08,QuickStop,New York,East,Home Goods,In-Store,New,8,890.56,160.3,0
ORD-1208,CUST-8488,2024-01-29,Daily Basket,Dallas,South,Home Goods,In-Store,VIP,12,1710.72,307.93,0
ORD-1209,CUST-2997,2025-05-27,Trend Hub,Miami,South,Home Goods,Wholesale,VIP,14,2634.51,474.21,0
ORD-1210,CUST-2381,2025-05-03,Value Cart,Miami,South,Groceries,Marketplace,New,6,372.0,93.0,0
ORD-1211,CUST-1889,2024-06-02,Urban Mart,Chicago,North,Home Goods,Online,New,8,1098.63,197.75,0
ORD-1212,CUST-2321,2024-01-20,Daily Basket,Dallas,South,Groceries,In-Store,New,1,57.41,14.35,0
ORD-1213,CUST-5909,2024-05-26,Value Cart,Los Angeles,West,Apparel,Marketplace,New,2,223.56,35.77,0
ORD-1214,CUST-7751,2025-02-07,Trend Hub,New York,East,Beauty,Online,Returning,10,1024.65,204.93,0
ORD-1215,CUST-7836,2024-06-18,Trend Hub,Miami,South,Beauty,Online,Returning,13,1162.51,232.5,0
ORD-1216,CUST-4586,2024-02-17,Urban Mart,Miami,South,Electronics,Online,VIP,2,402.41,88.53,0
ORD-1217,CUST-9575,2025-04-11,Value Cart,Chicago,North,Electronics,In-Store,VIP,7,1505.38,331.18,0
ORD-1218,CUST-6904,2025-06-17,Prime Market,Los Angeles,West,Electronics,Wholesale,New,9,1844.37,405.76,0
ORD-1219,CUST-5176,2024-05-17,Value Cart,New York,East,Beauty,Wholesale,Returning,15,1764.18,352.84,0
ORD-1220,CUST-3341,2024-01-15,QuickStop,New York,East,Beauty,In-Store,Returning,11,980.1,196.02,0
ORD-1221,CUST-2190,2024-05-21,Daily Basket,Seattle,West,Home Goods,Wholesale,New,7,1168.86,210.39,0
ORD-1222,CUST-1594,2024-10-12,Prime Market,Toronto,North,Apparel,Wholesale,VIP,15,2838.73,454.2,1
ORD-1223,CUST-1855,2024-01-06,QuickStop,Chicago,North,Beauty,Wholesale,VIP,3,473.12,94.62,0
ORD-1224,CUST-2936,2024-09-14,QuickStop,Seattle,West,Groceries,In-Store,New,6,448.5,112.12,0
ORD-1225,CUST-1941,2024-09-10,Daily Basket,Toronto,North,Electronics,Online,VIP,2,494.63,108.82,0
ORD-1226,CUST-3883,2024-08-19,Urban Mart,New York,East,Electronics,Wholesale,VIP,4,1058.51,232.87,0
ORD-1227,CUST-8209,2024-05-13,Prime Market,Chicago,North,Home Goods,In-Store,VIP,11,1927.53,346.96,0
ORD-1228,CUST-2037,2025-04-30,Daily Basket,Chicago,North,Electronics,Marketplace,New,1,158.28,34.82,0
ORD-1229,CUST-2289,2024-08-10,QuickStop,Toronto,North,Groceries,Marketplace,New,14,1066.93,266.73,0
ORD-1230,CUST-9536,2025-06-29,Trend Hub,Miami,South,Apparel,Online,New,8,731.29,117.01,0
